grid_id,pred_d15n_air_permil,kriging_residual,kriging_variance,final_regression_kriging,lat,lon,proj_x_epsg3031,proj_y_epsg3031
GRID_00001,0.9211999999999994,-1.973578133226082,27.0413089947064,-1.0523781332260826,-84.753,-179.937,-626.8527028524957,-570095.2345294206
GRID_00002,-0.0842999999999998,-1.9911105643699398,27.03746618562162,-2.0754105643699394,-84.772,-179.937,-624.5795099743394,-568027.8646016753
GRID_00003,0.2294,-2.0055032300789017,27.034171827021652,-1.7761032300789017,-84.79,-179.937,-622.4259918517687,-566069.3336524371
GRID_00004,0.5784999999999993,-2.036816637721801,27.020695263827896,-1.4583166377218018,-84.827,-179.835,-1618.5679883810233,-562041.5650079198
GRID_00005,-0.2173,-2.040584679672567,27.01937207599645,-2.257884679672567,-84.836,-179.834,-1625.5404106880585,-561062.3154388554
GRID_00006,-0.979,-2.0434552430155835,27.01820938598054,-3.0224552430155835,-84.845,-179.834,-1622.7033783044262,-560083.1014201391
GRID_00007,-7.27017,2.2064260148244434,36.57048488538336,-5.063743985175557,-84.704,-114.351,-524235.40738910687,-237263.35105446412
GRID_00008,-6.24172,2.2096944571993102,36.58432933719289,-4.03202554280069,-84.723,-114.119,-523304.8611831496,-234293.86581456068
GRID_00009,-8.212470000000003,2.2085587838867218,36.56770381246838,-6.0039112161132815,-84.732,-114.16,-522243.5419773803,-234267.45702580633
GRID_00010,-6.58647,2.2100196045297067,36.578256190349975,-4.376450395470293,-84.735,-114.069,-522316.9053137926,-233304.57671935228
GRID_00011,-6.5177200000000015,2.213949786396591,36.61263218321045,-4.303770213603411,-84.735,-113.845,-523225.0243205624,-231260.78141250057
GRID_00012,-6.812469999999999,2.217647996811261,36.65504295296197,-4.594822003188739,-84.721,-113.673,-525312.0839934134,-230300.69559139787
GRID_00013,-5.8150699999999995,2.216807096538978,36.63264796202182,-3.5982629034610216,-84.742,-113.662,-523263.3470250685,-229282.75651670797
GRID_00014,-5.683220000000001,2.170528017034468,36.21720708215558,-3.512691982965533,-84.753,-116.262,-511250.3642949472,-252253.90856387143
GRID_00015,-7.828606666666667,2.1694828959366537,36.20124260257895,-5.659123770730014,-84.761,-116.306,-510276.16689200373,-252260.6816598524
GRID_00016,-6.622557500000002,2.168421007316292,36.18514174042045,-4.45413649268371,-84.769,-116.351,-509297.8632824986,-252274.99901812745
GRID_00017,-8.45737,2.1734536842376757,36.236367453505466,-6.2839163157623235,-84.761,-116.082,-511258.4873316861,-250263.81508481325
GRID_00018,-6.23427,2.169168379053866,36.171324279554526,-4.065101620946134,-84.794,-116.26,-507258.4489976445,-250262.2573419329
GRID_00019,-6.519973333333333,2.1681166175895736,36.155477334868365,-4.351856715743759,-84.802,-116.304,-506285.7952757135,-250266.0057884484
GRID_00020,-6.410053333333335,2.174923494283455,36.24609106813063,-4.235129839049879,-84.765,-115.991,-511264.1063785883,-249260.76028729216
GRID_00021,-6.663869999999999,2.17061727144843,36.1811110906242,-4.493252728551569,-84.798,-116.169,-507264.67572059826,-249264.346378697
GRID_00022,-6.732220000000002,2.169560435837611,36.16527961227642,-4.562659564162391,-84.806,-116.213,-506292.1792707336,-249269.34099262353
GRID_00023,-6.200573333333333,2.1753034427373676,36.23974647012131,-4.025269890595965,-84.777,-115.945,-510289.95764421526,-248278.95693619325
GRID_00024,-6.946573333333333,2.1731391685900485,36.20688251697869,-4.773434164743285,-84.794,-116.033,-508245.9786717851,-248250.59253370375
GRID_00025,-5.512640833333333,2.18177686557434,36.30046007412711,-3.3308639677589933,-84.773,-115.585,-512232.4125521626,-245255.78542881485
GRID_00026,-5.794753333333334,2.1821477020723594,36.29441665542056,-3.612605631260975,-84.785,-115.537,-511259.5642212584,-244263.69752785916
GRID_00027,-5.353190833333335,2.1835747357155983,36.30408543104427,-3.169616097617737,-84.789,-115.446,-511253.86486133136,-243264.38215507063
GRID_00028,-7.051819999999999,2.1911572408082094,36.38147472814263,-4.86066275919179,-84.776,-115.042,-514237.95823751285,-240252.17756140608
GRID_00029,-6.409903333333331,2.2066460613080214,36.529698977249645,-4.20325727202531,-84.761,-114.192,-519234.2423129768,-233265.984702353
GRID_00030,-5.818403333333333,2.210291922264764,36.531855833500714,-3.6081114110685695,-84.805,-113.854,-516222.7247431803,-228262.76347931693
GRID_00031,-6.501053333333334,2.2117211974211117,36.542721078766114,-4.289332135912222,-84.808,-113.761,-516293.8043818466,-227293.03305502876
GRID_00032,-5.812220000000001,2.2142695242533104,36.56882498773407,-3.5979504757466905,-84.803,-113.627,-517322.3936731774,-226302.9700147469
GRID_00033,-6.682253333333335,2.210789940041744,36.52090012380214,-4.471463393291591,-84.829,-113.75,-514246.05188928306,-226273.6783008327
