target,cv_r2_mean,cv_r2_median,cv_r2_std,cv_r2_min,cv_r2_max,cv_rmse_orig_units_mean,cv_rmse_orig_units_median,cv_rmse_orig_units_std,cv_rmse_orig_units_min,cv_rmse_orig_units_max,cv_rmse_log_space_mean,cv_rmse_log_space_median,cv_rmse_log_space_std,cv_rmse_log_space_min,cv_rmse_log_space_max,tier
c_n_ratio,0.3827622035663817,0.3826009093226189,0.007378605390930305,0.3722920571871666,0.3911778857947737,11.40435822218193,11.406010941124316,0.06811325973889629,11.326507073368475,11.500841100813672,11.40435822218193,11.406010941124316,0.06811325973889629,11.326507073368475,11.500841100813672,moderate
clr_hr_1_mg_l_cl,0.05578665645659918,0.0571815494763028,0.004134802793764059,0.0505322757202106,0.0604146753245262,1.3219308604238758,1.320956582558411,0.0028937399409534104,1.31868971636167,1.325606454417568,1.3219308604238758,1.320956582558411,0.0028937399409534104,1.31868971636167,1.325606454417568,weak
clr_hr_1_mg_l_f,-0.0031855248122487,-0.0036172288218019,0.00564123403683437,-0.0086233012814207,0.0057397912657243,1.406298104994597,1.4066051172244038,0.0039578112849349345,1.400032664474658,1.4101088474724492,1.406298104994597,1.4066051172244038,0.0039578112849349345,1.400032664474658,1.4101088474724492,unusable
clr_hr_1_mg_l_no3,0.21823438065468914,0.2191973114955424,0.007320488147704452,0.2074208035603229,0.2276726237433909,1.5030929967794286,1.5021801589174035,0.007033349721078836,1.4940051208378156,1.513466128389083,1.5030929967794286,1.5021801589174035,0.007033349721078836,1.4940051208378156,1.513466128389083,weak
clr_hr_1_mg_l_po4,0.323803409986842,0.3267787521600239,0.020538743789647207,0.2956678768702039,0.35202988485524,1.4515468654425203,1.4484835517464405,0.02205101327399372,1.4210591288795758,1.4815742072132698,1.4515468654425203,1.4484835517464405,0.02205101327399372,1.4210591288795758,1.4815742072132698,moderate
clr_hr_1_mg_l_so4,0.09255482310743086,0.0940079853598588,0.006817388882241532,0.0807336364884901,0.0974088905404205,1.2341467020515688,1.2331650692908631,0.004626056114153491,1.2308483708296103,1.2421662183785975,1.2341467020515688,1.2331650692908631,0.004626056114153491,1.2308483708296103,1.2421662183785975,weak
clr_hr_24_mg_l_cl,0.12164751289085056,0.1253368664332685,0.00663509407661253,0.1102148845088989,0.1256498350397277,1.072795560937847,1.070546235748604,0.0040434212432429555,1.0703546892392126,1.0797608733491344,1.072795560937847,1.070546235748604,0.0040434212432429555,1.0703546892392126,1.0797608733491344,weak
clr_hr_24_mg_l_f,0.053358137611245936,0.052227022056139,0.005651902990170268,0.046968344839497,0.0618676232095646,1.1510667729767265,1.151758367604912,0.003438626771106272,1.145885640712242,1.1549491883419258,1.1510667729767265,1.151758367604912,0.003438626771106272,1.145885640712242,1.1549491883419258,weak
clr_hr_24_mg_l_no3,0.014829208869599958,0.0142544482483552,0.007425993194535749,0.006372025120507,0.0263871519649832,1.0890508785215234,1.0893747174537087,0.004108794437511254,1.0826498672759632,1.0937215870044807,1.0890508785215234,1.0893747174537087,0.004108794437511254,1.0826498672759632,1.0937215870044807,weak
clr_hr_24_mg_l_po4,0.2880456469420913,0.2863874281116719,0.014629866897484963,0.2709638631948406,0.3105076445275454,1.1771124483202242,1.1785324860320203,0.012126044574559866,1.1584439872107384,1.19120042579245,1.1771124483202242,1.1785324860320203,0.012126044574559866,1.1584439872107384,1.19120042579245,weak
clr_hr_24_mg_l_so4,0.13102181933624793,0.1251655230087501,0.019249569028316822,0.1167636780260398,0.1640631432292809,1.2088453569348008,1.212972158460643,0.013472597001464177,1.1856994663866045,1.2187828873577184,1.2088453569348008,1.212972158460643,0.013472597001464177,1.1856994663866045,1.2187828873577184,weak
clr_total_mg_l_ca2,0.25632840886412644,0.2528672906094826,0.018014767521967158,0.2329648124261937,0.2829727088030486,1.0431257334326893,1.0456118923557849,0.01265720291223276,1.0243290322038026,1.0594471152505924,1.0431257334326893,1.0456118923557849,0.01265720291223276,1.0243290322038026,1.0594471152505924,weak
clr_total_mg_l_cl,0.11462490247805782,0.1148078394064279,0.008144778866675039,0.1064499908268769,0.1234794254067925,1.3679888220680205,1.3678590630654128,0.006292306171692609,1.361142611629564,1.374301449498854,1.3679888220680205,1.3678590630654128,0.006292306171692609,1.361142611629564,1.374301449498854,weak
clr_total_mg_l_f,0.0053884281843502805,0.0016440289833804,0.006899851051296698,-0.0009396600597793,0.0129178823033444,1.384558317145078,1.3871687649927007,0.004805193461457385,1.3793142829817655,1.3889625625122906,1.384558317145078,1.3871687649927007,0.004805193461457385,1.3793142829817655,1.3889625625122906,weak
clr_total_mg_l_k,0.38298743478335073,0.3847822019610127,0.0063985108367637855,0.373002214295606,0.3886992538799717,1.0270109917802288,1.0255272089572385,0.005316011364414964,1.0222572630657094,1.0352988830822552,1.0270109917802288,1.0255272089572385,0.005316011364414964,1.0222572630657094,1.0352988830822552,moderate
clr_total_mg_l_mg2,-0.05403018754396016,-0.0585564681862342,0.01331713965103021,-0.0715977248980126,-0.0390652656337218,0.8398577113668122,0.8416724941344896,0.005304632452995131,0.8338876332392373,0.8468412626154959,0.8398577113668122,0.8416724941344896,0.005304632452995131,0.8338876332392373,0.8468412626154959,unusable
clr_total_mg_l_na,0.15250731472718482,0.1545943145643349,0.019441657595600553,0.1204434853074752,0.170387615433731,0.799680894269035,0.7987372911462641,0.009129061773247424,0.7912413810664114,0.8147103880016782,0.799680894269035,0.7987372911462641,0.009129061773247424,0.7912413810664114,0.8147103880016782,weak
